Year,borough,avg_income
1995,City of London,22518
1996,City of London,23328
1997,City of London,24966
1998,City of London,26816
1999,City of London,27898
2000,City of London,65000
2001,City of London,38300
2002,City of London,37000
2003,City of London,39200
2004,City of London,44400
2005,City of London,49300
2006,City of London,49000
2007,City of London,58500
2008,City of London,61900
2009,City of London,61300
2010,City of London,51600
2011,City of London,58300
2012,City of London,65300
2013,City of London,61100
2014,City of London,60000
2015,City of London,57300
2016,City of London,60000
2017,City of London,55200
2018,City of London,54200
2019,City of London,56700
2020,City of London,62200
2021,City of London,63000
2022,City of London,61911
2023,City of London,62015
2024,City of London,64008
1995,Barking and Dagenham,22518
1996,Barking and Dagenham,23328
1997,Barking and Dagenham,24966
1998,Barking and Dagenham,26816
1999,Barking and Dagenham,27898
2000,Barking and Dagenham,15600
2001,Barking and Dagenham,16200
2002,Barking and Dagenham,17000
2003,Barking and Dagenham,17400
2004,Barking and Dagenham,16600
2005,Barking and Dagenham,17900
2006,Barking and Dagenham,17600
2007,Barking and Dagenham,18600
2008,Barking and Dagenham,19400
2009,Barking and Dagenham,19400
2010,Barking and Dagenham,19600
2011,Barking and Dagenham,20100
2012,Barking and Dagenham,21000
2013,Barking and Dagenham,21800
2014,Barking and Dagenham,22100
2015,Barking and Dagenham,23300
2016,Barking and Dagenham,23900
2017,Barking and Dagenham,25200
2018,Barking and Dagenham,25700
2019,Barking and Dagenham,26800
2020,Barking and Dagenham,28000
2021,Barking and Dagenham,28600
2022,Barking and Dagenham,61911
2023,Barking and Dagenham,62015
2024,Barking and Dagenham,64008
1995,Barnet,22518
1996,Barnet,23328
1997,Barnet,24966
1998,Barnet,26816
1999,Barnet,27898
2000,Barnet,19400
2001,Barnet,18700
2002,Barnet,19700
2003,Barnet,20000
2004,Barnet,19900
2005,Barnet,21200
2006,Barnet,20400
2007,Barnet,22000
2008,Barnet,24300
2009,Barnet,24100
2010,Barnet,24200
2011,Barnet,25800
2012,Barnet,26800
2013,Barnet,27100
2014,Barnet,27700
2015,Barnet,28800
2016,Barnet,28700
2017,Barnet,29900
2018,Barnet,30700
2019,Barnet,32200
2020,Barnet,33500
2021,Barnet,34800
2022,Barnet,34021
2023,Barnet,38457
2024,Barnet,35959
1995,Bexley,22518
1996,Bexley,23328
1997,Bexley,24966
1998,Bexley,26816
1999,Bexley,27898
2000,Bexley,17300
2001,Bexley,18300
2002,Bexley,17800
2003,Bexley,17700
2004,Bexley,17700
2005,Bexley,19400
2006,Bexley,19600
2007,Bexley,19800
2008,Bexley,22100
2009,Bexley,22600
2010,Bexley,22300
2011,Bexley,23100
2012,Bexley,24400
2013,Bexley,24400
2014,Bexley,24500
2015,Bexley,26100
2016,Bexley,26900
2017,Bexley,26900
2018,Bexley,28000
2019,Bexley,28800
2020,Bexley,29300
2021,Bexley,29194
2022,Bexley,34976
2023,Bexley,35728
2024,Bexley,37948
1995,Brent,22518
1996,Brent,23328
1997,Brent,24966
1998,Brent,26816
1999,Brent,27898
2000,Brent,16800
2001,Brent,16500
2002,Brent,16400
2003,Brent,16800
2004,Brent,16500
2005,Brent,17600
2006,Brent,18200
2007,Brent,18300
2008,Brent,19600
2009,Brent,19700
2010,Brent,20200
2011,Brent,20600
2012,Brent,21300
2013,Brent,22700
2014,Brent,23200
2015,Brent,24100
2016,Brent,24700
2017,Brent,25600
2018,Brent,26200
2019,Brent,27200
2020,Brent,30000
2021,Brent,33633
2022,Brent,42766
2023,Brent,36160
2024,Brent,37822
1995,Bromley,22518
1996,Bromley,23328
1997,Bromley,24966
1998,Bromley,26816
1999,Bromley,27898
2000,Bromley,19500
2001,Bromley,19100
2002,Bromley,20100
2003,Bromley,21400
2004,Bromley,20900
2005,Bromley,22400
2006,Bromley,23000
2007,Bromley,23200
2008,Bromley,24900
2009,Bromley,25800
2010,Bromley,25100
2011,Bromley,26900
2012,Bromley,27200
2013,Bromley,28100
2014,Bromley,29800
2015,Bromley,30400
2016,Bromley,32000
2017,Bromley,32800
2018,Bromley,33700
2019,Bromley,33800
2020,Bromley,35800
2021,Bromley,34432
2022,Bromley,36640
2023,Bromley,40138
2024,Bromley,41575
1995,Camden,22518
1996,Camden,23328
1997,Camden,24966
1998,Camden,26816
1999,Camden,27898
2000,Camden,19700
2001,Camden,19800
2002,Camden,21700
2003,Camden,21300
2004,Camden,23200
